# C++ MultiValSparseBin Test Results
# INDEX_T=j, VAL_T=t
# num_data=1000, num_bin=256, sparsity=0.1
# Format: bin_index gradient_sum hessian_sum
0 2.04714 8.38529
1 3.30772 11.9544
2 -1.95042 8.3949
3 -4.0262 16.1171
4 -2.54696 11.217
5 1.48712 17.937
6 -2.54578 15.229
7 -2.15954 8.71378
8 -4.77799 12.3846
9 -0.0358711 7.98481
10 -6.14943 11.4801
11 -2.58403 15.4458
12 -4.03065 17.1813
13 -1.5859 10.7067
14 -0.704239 13.0032
15 2.44394 13.0174
16 2.36209 11.5949
17 -1.18324 12.1382
18 1.01743 10.1776
19 3.98635 11.309
20 0.541203 16.4233
21 3.3691 18.3323
22 -3.13825 11.3293
23 -3.84831 13.7732
24 0.354768 11.449
25 -1.34581 10.9858
26 1.75065 13.1761
27 -0.696267 13.9728
28 -1.74188 9.51531
29 -2.10596 11.3647
30 -2.2419 12.4592
31 4.53105 14.5999
32 3.71508 14.0004
33 -2.89179 13.014
34 -1.48592 12.7253
35 3.26896 6.77701
36 1.62602 8.94641
37 -1.82206 14.5502
38 -0.105971 11.5129
39 -7.1176 12.277
40 0.610887 13.3129
41 -0.946146 10.9141
42 -1.33795 11.3445
43 2.52809 14.9991
44 -1.03997 9.69598
45 -1.12179 11.205
46 -0.191792 5.39053
47 -1.60223 10.2364
48 2.12493 8.88167
49 -3.84009 14.6634
50 -1.31209 11.8315
51 0.961104 12.8961
52 0.045801 7.05117
53 -1.70495 12.0615
54 1.50441 11.1975
55 1.33332 9.306
56 1.3802 8.40954
57 1.06936 11.5867
58 -1.76661 9.51104
59 -3.2371 10.5961
60 8.21103 10.7335
61 -1.96049 13.0805
62 -0.271982 17.9413
63 -0.0687686 8.30162
64 3.44325 10.3646
65 -2.76393 12.8295
66 -0.0947594 12.0361
67 -1.17745 8.89279
68 2.69764 6.10095
69 -0.046475 12.9959
70 -3.66218 8.55346
71 -2.85946 13.301
72 0.947478 6.28664
73 -2.05101 10.4894
74 -2.05901 12.3446
75 -2.50913 15.891
76 -1.62131 7.35114
77 2.88748 15.5301
78 -1.11302 9.06355
79 0.699016 11.9339
80 2.46886 11.4233
81 -0.374146 9.91426
82 0.720233 11.3975
83 -0.309738 16.1882
84 -4.79994 17.2284
85 -1.10218 12.193
86 -2.11203 9.99842
87 3.49064 15.2652
88 -0.400643 10.3547
89 -4.86989 10.1442
90 -0.687766 11.1658
91 -0.401364 8.45728
92 -0.272782 6.77943
93 -1.40493 11.0775
94 2.83062 13.5167
95 -0.436136 10.9632
96 -0.77201 13.8821
97 -6.14932 10.5591
98 2.52781 10.4828
99 0.797765 12.6805
100 -1.9717 12.2803
101 2.20605 6.53809
102 -2.3929 9.32763
103 -1.09729 10.9153
104 -0.800126 7.47884
105 -0.016642 12.4102
106 4.23202 17.2788
107 -2.3058 14.9466
108 2.71817 18.9499
109 -0.546909 10.2286
110 -2.74063 10.8229
111 -2.10817 9.07495
112 1.70628 10.5134
113 0.740438 15.1068
114 1.02165 14.0634
115 -1.9008 11.3665
116 2.54853 12.6414
117 -0.953431 12.1357
118 -3.6887 16.9047
119 2.55779 7.45702
120 -0.692252 15.1386
121 -5.65797 10.5738
122 -3.26744 9.75634
123 0.155524 13.1516
124 -0.0378532 9.26296
125 -0.550546 13.9431
126 -6.5457 14.558
127 -0.313088 17.3779
128 4.95776 13.988
129 -1.76208 14.0651
130 -2.58981 10.0195
131 4.95541 12.5773
132 0.135548 15.4167
133 -3.97574 17.1738
134 0.715176 10.5885
135 -0.760613 14.6547
136 -2.00215 5.7826
137 1.29081 5.65168
138 3.50561 12.8489
139 4.20481 9.87393
140 -1.37692 9.32646
141 4.59237 13.9487
142 3.70398 13.2621
143 -0.609948 10.3214
144 0.677349 6.63836
145 0.830978 16.5365
146 3.48296 12.3918
147 -2.90676 8.58975
148 -0.74675 13.7547
149 2.14281 12.076
150 1.51119 11.0556
151 3.54177 12.5175
152 -2.62317 9.3155
153 2.98632 7.07258
154 0.988949 10.6646
155 -0.408046 11.233
156 0.228274 12.9867
157 5.03049 9.21063
158 1.20842 12.1224
159 -3.3458 8.90618
160 -6.03163 12.3608
161 -3.63068 16.3002
162 2.8739 6.21629
163 -0.816355 15.3665
164 5.52171 8.21638
165 2.04544 11.7122
166 -4.5521 7.69804
167 -0.921785 10.6149
168 2.23596 7.05118
169 -4.32349 10.726
170 4.00906 12.8815
171 3.72672 11.0851
172 -4.28305 9.14287
173 0.477623 8.39133
174 0.71066 10.3246
175 -3.16099 14.132
176 -1.35891 8.68326
177 -2.22064 11.054
178 2.63425 9.97808
179 -0.224316 8.44403
180 4.20247 5.7288
181 -3.30804 11.387
182 6.19191 17.1826
183 1.3495 11.3453
184 3.24413 13.0686
185 -3.24473 14.6045
186 1.83661 8.78588
187 -0.540402 14.0395
188 3.14635 11.5361
189 -2.54662 6.12526
190 1.4643 11.3543
191 1.96106 12.3069
192 -2.1659 9.08395
193 -0.836468 9.06005
194 1.64025 12.232
195 3.99442 11.8667
196 -0.967261 9.26999
197 -2.69296 15.0755
198 2.57964 8.24946
199 -0.843777 11.8409
200 1.84129 8.81951
201 4.03903 13.4801
202 2.69361 12.6794
203 3.349 10.0435
204 1.21964 14.9896
205 -2.4683 9.70158
206 -2.17761 8.36906
207 1.53655 10.4488
208 -3.54683 10.5604
209 -0.712246 18.0558
210 -0.912769 10.0697
211 -2.81621 13.8543
212 -2.28957 5.934
213 3.23439 8.70892
214 2.26071 18.7351
215 -1.52639 9.71242
216 -2.10746 12.1886
217 1.22323 11.8509
218 5.17952 16.3538
219 -2.18068 10.4012
220 1.85529 14.1906
221 -2.4027 8.08993
222 0.305905 8.33065
223 -2.62247 8.5568
224 0.571613 12.2427
225 0.876709 11.6873
226 -2.15924 11.22
227 0.788188 14.4722
228 -3.84695 16.446
229 0.489048 10.2977
230 1.28848 11.0973
231 -4.29933 12.1762
232 -0.116358 14.2612
233 -0.188798 15.5842
234 2.19324 8.47377
235 -1.66089 16.7029
236 5.55177 13.3016
237 -1.883 15.6049
238 -3.14602 15.7872
239 -2.21528 8.79328
240 -0.79693 15.069
241 3.66418 16.8134
242 -1.34127 11.5453
243 1.15382 9.62183
244 -0.354955 12.1886
245 -2.10302 9.82159
246 -1.98755 8.52571
247 1.39826 15.9806
248 2.83014 10.2968
249 -0.149146 9.76803
250 0.544437 17.1675
251 0.506034 6.68932
252 2.41538 8.44016
253 0.366069 10.3514
254 -1.51983 8.80343
255 2.05666 8.22198
